Pair,Total,Significant_total,Both_promoting,Both_disrupting,Correlated_total,Promoting_in_X_Disrupting_in_Y,Disrupting_in_X_Promoting_in_Y,Anticorrelated_total,Allosteric_only_in_X,Allosteric_only_in_Y,Allosteric_total,Not_significant
RAF1 vs RALGDS,2681,343,1,169,170,0,0,0,137,36,173,2338
RAF1 vs PI3KCG,2726,382,0,162,162,0,0,0,152,68,220,2344
RAF1 vs SOS1,2429,431,1,148,149,0,2,2,147,133,280,1998
RAF1 vs K55,3134,409,8,154,162,0,0,0,173,74,247,2725
RAF1 vs K27,3190,501,13,139,152,0,38,38,151,160,311,2689
RAF1 vs K13,2865,437,14,29,43,0,18,18,292,84,376,2428
RAF1 vs K19,2891,421,13,40,53,0,19,19,280,69,349,2470
RALGDS vs PI3KCG,2560,264,1,170,171,0,0,0,32,61,93,2296
RALGDS vs SOS1,2351,347,3,131,134,0,1,1,54,158,212,2004
RALGDS vs K55,2626,300,1,154,155,0,0,0,54,91,145,2326
RALGDS vs K27,2607,398,1,84,85,1,35,36,84,193,277,2209
RALGDS vs K13,2451,304,1,7,8,0,13,13,187,96,283,2147
RALGDS vs K19,2459,303,1,8,9,0,18,18,180,96,276,2156
PI3KCG vs SOS1,2323,335,4,144,148,0,2,2,61,124,185,1988
PI3KCG vs K55,2670,325,0,155,155,0,0,0,79,91,170,2345
PI3KCG vs K27,2669,418,1,86,87,0,39,39,105,187,292,2251
PI3KCG vs K13,2486,337,0,3,3,0,10,10,216,108,324,2149
PI3KCG vs K19,2483,332,0,5,5,0,10,10,212,105,317,2151
SOS1 vs K55,2410,374,1,122,123,6,0,6,146,99,245,2036
SOS1 vs K27,2410,436,3,87,90,2,32,34,144,168,312,1974
SOS1 vs K13,2210,386,1,6,7,1,13,14,272,93,365,1824
SOS1 vs K19,2220,402,2,6,8,1,15,16,281,97,378,1818
K55 vs K27,3096,444,8,98,106,0,34,34,96,208,304,2652
K55 vs K13,2772,360,8,13,21,0,12,12,211,116,327,2412
K55 vs K19,2798,352,8,14,22,0,16,16,205,109,314,2446
K27 vs K13,2790,428,29,16,45,0,12,12,281,90,371,2362
K27 vs K19,2813,417,33,19,52,0,13,13,278,74,352,2396
K13 vs K19,3053,211,63,29,92,0,0,0,65,54,119,2842
