Pair,Total,Significant_total,Both_promoting,Both_disrupting,Correlated_total,Promoting_in_X_Disrupting_in_Y,Disrupting_in_X_Promoting_in_Y,Anticorrelated_total,Allosteric_only_in_X,Allosteric_only_in_Y,Allosteric_total,Not_significant,Threshold_X,Threshold_Y
RAF1 vs RALGDS,2681,385,1,184,185,0,0,0,139,61,200,2296,0.4,0.4
RAF1 vs PI3KCG,2726,414,1,175,176,0,0,0,156,82,238,2312,0.4,0.4
RAF1 vs SOS1,2429,396,0,135,135,0,1,1,177,83,260,2033,0.4,0.4
RAF1 vs K55,3134,505,13,239,252,0,0,0,101,152,253,2629,0.4,0.4
RAF1 vs K27,3190,448,14,118,132,0,30,30,197,89,286,2742,0.4,0.4
RAF1 vs K13,2865,399,14,23,37,0,7,7,330,25,355,2466,0.4,0.4
RAF1 vs K19,2891,386,12,28,40,0,3,3,330,13,343,2505,0.4,0.4
RALGDS vs PI3KCG,2560,303,7,190,197,0,0,0,43,63,106,2257,0.4,0.4
RALGDS vs SOS1,2351,317,4,134,138,0,1,1,90,88,178,2034,0.4,0.4
RALGDS vs K55,2626,434,2,206,208,0,0,0,40,186,226,2192,0.4,0.4
RALGDS vs K27,2607,360,2,77,79,1,28,29,136,116,252,2247,0.4,0.4
RALGDS vs K13,2451,288,1,7,8,0,8,8,229,43,272,2163,0.4,0.4
RALGDS vs K19,2459,276,1,8,9,0,4,4,234,29,263,2183,0.4,0.4
PI3KCG vs SOS1,2323,300,6,144,150,0,1,1,88,61,149,2023,0.4,0.4
PI3KCG vs K55,2670,445,2,209,211,0,0,0,51,183,234,2225,0.4,0.4
PI3KCG vs K27,2669,368,2,83,85,2,31,33,142,108,250,2301,0.4,0.4
PI3KCG vs K13,2486,304,1,4,5,0,4,4,249,46,295,2182,0.4,0.4
PI3KCG vs K19,2483,294,1,3,4,0,0,0,251,39,290,2189,0.4,0.4
SOS1 vs K55,2410,437,2,142,144,4,0,4,61,228,289,1973,0.4,0.4
SOS1 vs K27,2410,317,2,65,67,2,25,27,109,114,223,2093,0.4,0.4
SOS1 vs K13,2210,279,0,2,2,0,4,4,223,50,273,1931,0.4,0.4
SOS1 vs K19,2220,279,0,2,2,0,1,1,234,42,276,1941,0.4,0.4
K55 vs K27,3096,493,13,118,131,0,29,29,243,90,333,2603,0.4,0.4
K55 vs K13,2772,430,12,17,29,0,8,8,357,36,393,2342,0.4,0.4
K55 vs K19,2798,425,12,20,32,0,4,4,368,21,389,2373,0.4,0.4
K27 vs K13,2790,288,16,9,25,0,4,4,218,41,259,2502,0.4,0.4
K27 vs K19,2813,279,14,11,25,0,1,1,222,31,253,2534,0.4,0.4
K13 vs K19,3053,92,24,18,42,0,0,0,35,15,50,2961,0.4,0.4
